POI_id,KG_id
505376,114087
505382,114090
521888,114255
521971,114256
522366,114258
528143,114285
532293,114299
538407,114366
538537,114371
539584,114395
539606,114417
539614,114423
539653,114448
539686,114479
539789,114527
539868,114585
539914,114617
539915,114618
539997,114680
540018,114702
540020,114704
540021,114705
540029,114713
540033,114717
540045,114729
540054,114738
540099,114780
540113,114792
540161,114823
540176,114826
540583,114866
540791,114872
540794,114873
540834,114880
540845,114882
540923,114884
540994,114898
541311,114971
541756,115023
542014,115033
542875,115053
542970,115056
544209,115069
544211,115070
545897,115086
546418,115091
546494,115092
546512,115095
547000,115112
547234,115128
547275,115136
547508,115154
548042,115163
548055,115164
548871,115173
549075,115205
549269,115236
549355,115243
550000,115252
550823,115271
550893,115273
551758,115305
552192,115339
553857,115393
553912,115399
554061,115416
554310,115464
554524,115468
554594,115471
555020,115487
555090,115513
556039,115536
556489,115551
556490,115552
556641,115569
557747,115599
558744,115709
558753,115714
558755,115716
558772,115729
558866,115749
558891,115751
558928,115767
558929,115768
558971,115777
559008,115788
559182,115842
559375,115886
559434,115908
559492,115933
559515,115955
559815,116108
559871,116122
559963,116157
560158,116249
560302,116304
560328,116315
560361,116324
560516,116357
561064,116397
562625,116440
562748,116442
563169,116448
563544,116451
564153,116478
564421,116481
564930,116484
564980,116485
565076,116488
565147,116489
565628,116497
566092,116507
566114,116514
566265,116528
567018,116543
567106,116552
567286,116562
567804,116575
567959,116584
568009,116587
568279,116590
568313,116591
568314,116592
569028,116600
569987,116608
570382,116635
570385,116636
570726,116660
570891,116700
570935,116725
571027,116780
571082,116815
571138,116845
571187,116875
571252,116930
571653,116989
571728,117015
571733,117019
571784,117038
571800,117046
571859,117069
572425,117129
572427,117131
572629,117245
572804,117257
572849,117284
573168,117295
573238,117338
573519,117483
573711,117571
573874,117688
573884,117693
574032,117708
574114,117709
575488,117889
575607,117944
575633,117969
575700,117979
576001,117997
576004,118000
576917,118022
578688,118062
578792,118082
579515,118105
579582,118168
579587,118173
579606,118192
579769,118317
579918,118385
579920,118387
580025,118421
580081,118431
580348,118441
580650,118489
580811,118523
582738,118545
587187,118595
595400,118767
595415,118774
595494,118824
596623,118853
597029,118871
599573,118891
602573,118924
603136,118929
605672,118972
605729,118997
607452,119014
609694,119028
609803,119030
610770,119111
610775,119114
610813,119135
610834,119150
617400,119171
618073,119178
618083,119186
618518,119228
618554,119232
618659,119236
618763,119238
618815,119248
618957,119262
618991,119269
619081,119315
619101,119333
619102,119334
619116,119345
619264,119351
619628,119358
619916,119361
620074,119373
620297,119378
620322,119381
620412,119392
620526,119406
620668,119418
620670,119420
620741,119445
620785,119488
620843,119525
620925,119563
620964,119602
620977,119615
620987,119625
621008,119646
621017,119654
621058,119658
621308,119698
621348,119730
621357,119731
621442,119740
621629,119757
621651,119759
621731,119767
621864,119784
621974,119792
622105,119805
622120,119808
622440,119817
622477,119820
622502,119824
622561,119833
622684,119841
622869,119860
623001,119868
623171,119883
623226,119889
623487,119910
623609,119913
623636,119917
623936,119930
623952,119932
624217,119952
624503,119989
624653,119996
624659,120000
624782,120017
625293,120068
626104,120150
626116,120152
626215,120177
626236,120179
626550,120197
626719,120203
626802,120204
627173,120223
627497,120308
627552,120321
627700,120341
627865,120392
629485,120454
629596,120465
629726,120478
629981,120486
630248,120495
630280,120498
630300,120500
630352,120502
630492,120553
630566,120591
630643,120613
630671,120638
630692,120655
630706,120663
630708,120665
630710,120667
630764,120696
631139,120795
631499,120852
631540,120870
631666,120902
632149,120934
632216,120936
633998,120940
634036,120946
634532,120958
634781,120969
635174,120994
635242,121005
635264,121008
635265,121009
635345,121029
635423,121074
635432,121078
635478,121094
635540,121101
635740,121120
636150,121172
636181,121173
636441,121186
636603,121203
636612,121206
636947,121237
636968,121240
637111,121268
637521,121290
637536,121291
637668,121294
637944,121300
637982,121301
638457,121333
638606,121341
638681,121343
638857,121354
638896,121356
638922,121359
639069,121393
639576,121430
639577,121431
639767,121438
639768,121439
639891,121464
639932,121471
639977,121486
640294,121518
641062,121554
641131,121556
641488,121562
641529,121585
641600,121594
641662,121603
641905,121623
641932,121635
641996,121669
642172,121675
642210,121683
642474,121687
642715,121694
642789,121697
642902,121700
643297,121704
643448,121706
643923,121721
644031,121726
644353,121760
644685,121763
645135,121771
645248,121776
645381,121779
645890,121785
645987,121789
646180,121799
647188,121804
647244,121805
647466,121818
647880,121827
648048,121835
648136,121836
648375,121845
648856,121907
648905,121938
649451,121959
649504,121968
650040,121985
650121,121987
650158,121988
650923,122128
650937,122137
650965,122153
650977,122165
650991,122177
651202,122205
652674,122297
652790,122298
652903,122301
653015,122304
653268,122312
653335,122313
653716,122315
654499,122320
655292,122337
656043,122348
657821,122369
668497,122499
671556,122548
676887,122635
677995,122656
685559,122729
686277,122734
697495,122782
697537,122789
697657,122799
697717,122800
697765,122802
697774,122805
697886,122823
698065,122840
698094,122846
698095,122847
698143,122853
698259,122857
698421,122879
698618,122881
698700,122905
698800,122920
698826,122937
698836,122946
698864,122967
698873,122975
699241,122997
699303,123019
699380,123038
699424,123052
699436,123064
699445,123073
699446,123074
699454,123082
699464,123092
699469,123097
699474,123100
699475,123101
699535,123131
699560,123135
699583,123142
699594,123147
699610,123152
699632,123161
699704,123163
699736,123164
699832,123166
700088,123170
700117,123172
700346,123181
700464,123186
701841,123197
702473,123204
702660,123211
703015,123215
703037,123216
703141,123217
703440,123228
703504,123230
703595,123234
704066,123259
704346,123288
704546,123292
705505,123303
705904,123305
706188,123309
706195,123310
706375,123319
706391,123321
706647,123327
706920,123339
707123,123344
707350,123352
707599,123357
707969,123364
708138,123366
708784,123370
709158,123374
710005,123386
710158,123389
710203,123390
710687,123392
711072,123394
711389,123396
711496,123397
711786,123401
711813,123403
711997,123410
712169,123423
712751,123429
713132,123430
713527,123448
713636,123452
713856,123455
714419,123462
714810,123467
714840,123468
714935,123471
719839,123516
720222,123519
749840,123708
751567,123746
756479,123778
758243,123791
759240,123795
759252,123796
759356,123798
760466,123807
760760,123812
760768,123813
761438,123820
762186,123827
762314,123829
762324,123830
762578,123832
762627,123833
763234,123845
763383,123849
763762,123860
763768,123861
763813,123865
764072,123872
764499,123880
764856,123894
764978,123898
765086,123901
765496,123905
767446,123917
768586,123924
770943,123933
774280,123981
774289,123989
774295,123994
774405,124073
774605,124209
787848,124288
813479,124404
813532,124405
880862,124732
881776,124744
882694,124751
890848,124780
929357,124900
938972,124954
948273,125155
971982,125265
981213,125290
988353,125305
1002883,62919
1006085,62986
1006092,62991
1006099,62995
1006228,63014
1010135,63062
1018007,63126
1038195,63246
1038956,63310
1039105,63312
1039135,63313
1039682,63338
1039862,63341
1040235,63349
1050484,63436
1050486,63438
1050564,63516
1050577,63529
1062816,63638
1062848,63663
1063018,63792
1063047,63817
1063067,63837
1063117,63873
1063259,63980
1063275,63996
1063334,64045
1063454,64061
1063480,64080
1063611,64089
1065806,64476
1065918,64563
1072268,64712
1072873,64760
1072932,64779
1072940,64786
1073183,64798
1073496,64809
1073590,64886
1073628,64912
1073670,64934
1073898,65032
1074092,65105
1074117,65123
1074169,65159
1074174,65162
1074178,65163
1074192,65170
1074204,65178
1074223,65188
1074253,65204
1074319,65251
1074392,65293
1074425,65302
1074452,65314
1074462,65319
1075185,65350
1075263,65369
1075294,65394
1075295,65395
1075296,65396
1075440,65412
1076451,65567
1076495,65596
1076550,65638
1076670,65696
1076742,65740
1076752,65745
1076839,65771
1077721,66038
1078304,66212
1078489,66248
1079028,66340
1081233,66417
1081244,66425
1081275,66448
1081344,66495
1081449,66514
1082754,66572
1082896,66602
1083247,66619
1083717,66639
1084565,66657
1088045,66702
1088152,66720
1088226,66722
1088313,66730
1090128,66756
1091480,66801
1091515,66808
1091761,66828
1093503,66946
1102910,67058
1102985,67075
1102989,67079
1105478,67113
1106695,67157
1106748,67173
1107293,67182
1107320,67199
1107322,67201
1107335,67204
1108177,67422
1108363,67595
1108366,67598
1108404,67636
1108438,67670
1108481,67713
1108510,67742
1108800,68030
1108898,68128
1108910,68140
1108958,68188
1108990,68220
1108997,68227
1109006,68237
1109033,68264
1109045,68276
1109051,68282
1109094,68318
1109209,68427
1109231,68449
1109458,68675
1109582,68796
1109651,68851
1109688,68888
1109699,68899
1109856,68906
1109883,68929
1110127,69171
1110157,69201
1110201,69240
1110203,69242
1110259,69298
1110312,69336
1110425,69449
1110497,69521
1110533,69557
1110568,69592
1110587,69611
1110610,69634
1110684,69708
1110899,69923
1110910,69934
1110935,69959
1110940,69964
1111007,70031
1111023,70047
1111046,70070
1111063,70084
1111116,70115
1111359,70140
1111365,70145
1112449,70365
1112493,70409
1112509,70425
1112654,70464
1112702,70510
1112727,70535
1112767,70575
1112827,70629
1112830,70632
1112850,70652
1112938,70738
1112968,70766
1112994,70792
1113142,70920
1113529,71013
1113783,71040
1113795,71051
1113809,71065
1113852,71108
1115482,71284
1115617,71295
1117209,71327
1117217,71330
1117275,71341
1117277,71342
1135683,71375
1140439,71410
1144415,71428
1145892,71445
1145900,71453
1146689,71547
1147067,71559
1148155,71574
1148159,71577
1148367,71591
1148685,71642
1151466,71720
1151551,71783
1151721,71826
1151729,71833
1151739,71843
1151831,71933
1151873,71975
1151917,72019
1151945,72047
1151978,72080
1152106,72206
1152301,72363
1152463,72525
1152769,72693
1152819,72743
1152887,72811
1152984,72905
1153021,72942
1153040,72961
1153090,73011
1153167,73088
1153179,73100
1153275,73148
1153289,73162
1153472,73338
1153547,73413
1153585,73451
1153636,73501
1153712,73577
1153837,73693
1153948,73804
1154022,73878
1154069,73923
1154081,73935
1154116,73970
1154203,74057
1154350,74191
1154547,74388
1154591,74432
1154793,74617
1154839,74663
1154896,74720
1154936,74760
1154951,74775
1154971,74795
1154974,74798
1155126,74950
1155200,75024
1155335,75159
1155352,75173
1155620,75239
1155755,75373
1155787,75405
1155791,75409
1155802,75420
1155826,75444
1155936,75554
1156049,75667
1156119,75737
1156153,75771
1156182,75800
1156390,76000
1156508,76118
1156575,76184
1156611,76220
1156829,76375
1156881,76427
1156911,76457
1157075,76621
1157163,76709
1157186,76732
1157262,76758
1157339,76835
1157347,76843
1157444,76940
1157486,76982
1157501,76997
1157512,77008
1157525,77021
1157670,77166
1157695,77191
1157782,77278
1157848,77344
1157961,77457
1158043,77539
1158068,77564
1158095,77591
1158142,77638
1158306,77793
1158338,77825
1158435,77922
1158477,77964
1158522,78009
1158541,78028
1158542,78029
1158594,78081
1158604,78091
1158681,78168
1158725,78212
1158767,78254
1158794,78281
1158824,78311
1158882,78369
1158962,78449
1160178,78542
1160533,78632
1161233,78744
1161360,78774
1161472,78840
1161562,78904
1161674,78910
1161678,78911
1161736,78943
1161813,79020
1161816,79023
1161846,79053
1161849,79056
1162066,79273
1162160,79367
1162203,79410
1162229,79436
1162235,79442
1162408,79616
1162455,79663
1162565,79773
1162602,79810
1162641,79849
1162643,79851
1162652,79859
1162709,79916
1162781,79965
1162821,80005
1162935,80119
1162936,80120
1162971,80155
1162992,80176
1163000,80185
1163050,80229
1163089,80268
1163108,80287
1163375,80554
1163386,80565
1163422,80601
1163575,80754
1163597,80776
1163660,80839
1163824,81002
1163861,81039
1163931,81109
1163940,81118
1164052,81230
1164065,81243
1164102,81280
1164108,81286
1164112,81290
1164211,81389
1164213,81391
1164286,81464
1164301,81479
1164336,81514
1164477,81650
1164532,81704
1164562,81733
1164570,81741
1164619,81790
1164631,81802
1164782,81945
1164794,81953
1164882,81994
1164890,82002
1164925,82037
1165003,82115
1165004,82116
1165026,82138
1165036,82148
1165161,82271
1165233,82343
1165374,82484
1165390,82500
1165420,82530
1165439,82549
1165462,82572
1165480,82590
1165548,82647
1165589,82688
1165641,82732
1165753,82842
1165801,82890
1165909,82998
1166073,83162
1166109,83198
1166291,83379
1166361,83449
1166382,83470
1166421,83509
1166431,83519
1166513,83601
1166522,83609
1166556,83643
1166580,83667
1166872,83952
1166914,83994
1166939,84019
1166969,84049
1166984,84064
1167023,84099
1167108,84184
1167188,84209
1167270,84291
1167375,84396
1167493,84514
1167557,84578
1167587,84608
1167629,84650
1167635,84656
1167651,84672
1167811,84821
1167883,84888
1167894,84899
1167949,84938
1167958,84947
1168014,85004
1168111,85102
1168256,85247
1168361,85352
1168449,85440
1168495,85486
1168532,85523
1168555,85546
1168565,85556
1168592,85582
1168601,85591
1168756,85746
1168758,85748
1168856,85846
1168859,85849
1168875,85865
1168985,85975
1168996,85986
1169164,86144
1169187,86167
1169215,86195
1169386,86366
1169463,86443
1169594,86574
1169612,86592
1169630,86610
1169690,86670
1169691,86671
1169713,86693
1169740,86720
1169782,86760
1169784,86762
1169847,86825
1170031,87010
1170052,87031
1170140,87119
1170158,87137
1170279,87258
1170443,87416
1170497,87470
1170786,87759
1170797,87770
1170822,87795
1170879,87852
1170930,87903
1170995,87968
1171072,88045
1171120,88093
1171164,88137
1171299,88272
1171333,88306
1171402,88371
1171499,88468
1171540,88509
1171592,88561
1171776,88744
1171777,88745
1171808,88776
1171869,88837
1171878,88846
1171985,88953
1172020,88990
1172063,89034
1172120,89092
1172141,89113
1172158,89130
1172159,89131
1172343,89315
1172376,89348
1172493,89465
1172498,89470
1172553,89525
1172614,89586
1172644,89616
1172797,89769
1172799,89771
1172823,89795
1173181,90146
1173393,90222
1173500,90329
1173503,90332
1173537,90366
1173724,90515
1173737,90528
1173998,90710
1174077,90782
1174087,90788
1174208,90885
1174215,90892
1174274,90951
1174306,90983
1174328,91005
1174420,91069
1174431,91080
1174480,91129
1174488,91137
1174779,91426
1174859,91506
1174941,91588
1175100,91748
1175131,91779
1175143,91791
1175150,91798
1175242,91885
1175263,91906
1175336,91979
1175463,92106
1175513,92156
1175559,92202
1175567,92210
1175577,92220
1175627,92270
1175682,92325
1175694,92337
1175706,92349
1175808,92451
1175915,92557
1176047,92688
1176220,92854
1176303,92937
1176312,92946
1176440,93074
1176454,93088
1176483,93117
1176843,93195
1176924,93204
1176963,93221
1177454,93267
1182853,93334
1182985,93348
1183041,93380
1183044,93383
1183048,93386
1183318,93575
1183416,93599
1183417,93600
1183418,93601
1183479,93662
1183582,93765
1183588,93770
1184049,93915
1184116,93982
1184203,94069
1184252,94118
1184254,94120
1184348,94214
1184355,94221
1184386,94252
1184405,94271
1184412,94278
1184418,94284
1184495,94301
1184837,94339
1184993,94383
1185145,94492
1185210,94557
1185231,94578
1185733,94760
1185736,94763
1185739,94766
1185823,94850
1185874,94901
1185919,94934
1186024,94945
1186279,95145
1186333,95160
1186404,95231
1186490,95317
1186541,95368
1186546,95373
1186793,95588
1186794,95589
1186880,95673
1186920,95710
1186964,95754
1187034,95821
1187181,95968
1187249,96034
1187261,96046
1187387,96173
1187402,96188
1187431,96217
1187537,96323
1187545,96331
1187607,96393
1187633,96409
1187787,96475
1187935,96567
1187980,96612
1188046,96680
1188153,96788
1188274,96909
1188390,97023
1188398,97031
1188404,97036
1188546,97177
1188586,97217
1188592,97223
1188661,97293
1188692,97324
1188706,97338
1188711,97343
1189144,97451
1189152,97454
1189311,97462
1189531,97513
1189637,97619
1189655,97637
1189777,97759
1189782,97764
1189883,97865
1189961,97943
1189992,97970
1189998,97976
1190035,98013
1190060,98027
1190082,98038
1190294,98091
1190326,98101
1190340,98105
1190476,98119
1190523,98126
1190749,98160
1191120,98221
1191642,98272
1191664,98277
1191667,98279
1191668,98280
1191669,98281
1191976,98342
1191988,98350
1192017,98357
1192057,98369
1192069,98373
1192087,98381
1192108,98401
1192161,98445
